Citation,Topics,,,,,States and Union Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Years of Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citation,Diet,Disease Ecology (and Health),Habitat,Movement Ecology,Toxicology,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
"Purohit, A. and Senacha, K. R. (2002): A review of microchiropteran eco-status in Mandore garden, Jodhpur. Journal of Nature Conservation, 14 (2): 251 - 262.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. and Purohit, A. (2005): Partial albinism in the lesser mouse-tailed bat, Rhinopoma hardwickii. Bat Research News, 46 (3): 75 - 76.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. and Purohit, A. (2004): Possible twin birth in the Indian flying fox, Pteropus giganteus. Bat Research News, 45 (4): 199.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purohit, A. and Senacha K. R. (2003): Electrocution of Indian Flying Foxes, Pteropus giganteus giganteus, in Jodhpur, India. Bat Research News, 44 (2), Summer: 63 - 64.",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purohit, A. and Kalu Ram (2001): Present population status of Rhinopoma microphyllum kinneari at JNV University, Jodhpur. BAT NET - CCINSA Newsletter, 2 (1).",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purohit, A.; Senacha, K. R. and Vantipalli, V. (2002): An observation on domestic cat preying upon few desert microchiropterans. BAT NET - CCINSA Newsletter, 3 (2): 12 - 13.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purohit, A.; Gaur, B. S. and Senacha, K. R. (2002): A note on Prosopis Juliflora: emerging threat for the microchiropterans of Thar desert. BAT NET - CCINSA Newsletter, 3 (2): 7 - 8.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2005): A glimpse at the roosts of Indian Flying Fox: Pteropus g. giganteus from the train track. BAT NET - CCINSA Newsletter, 6 (1): 5.",,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2006): Opportunistic survey of Indian flying fox Pteropus giganteus (Brunnich, 1782). BAT NET – CCINSA Newsletter, 7 (1-2): 27 - 29.",,,1,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2007): Survey of chiropterans in Kutch of Gujarat. BAT NET – CCINSA Newsletter, 8 (1-2): 32 - 33.",,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2007): First record of Lesser False Vampire Megaderma spasma (Linnaeus, 1758) in Madhya Pradesh, India. Journal of Bombay Natural History Society,104 (3): 343 - 344.",,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2008): First record of Blyth’s Horseshoe bat Rhinolophus lepidus (Blyth, 1844) from Western Gujarat, India. BAT NET - CCINSA Newsletter, 9 (1): 3 - 4.",,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
