database,id,latitude,longitude,scientific_name,rank,taxon_id
ibp,1722260,17.38536263,78.404129029999993,Taphozous nudiventris Cretzschmar 1826,species,NA
ibp,1722259,23.18146706,79.98640442,Taphozous melanopogon Temminck 1841,species,NA
ibp,1722258,10.74488735,92.49999237,Taphozous melanopogon Temminck 1841,species,NA
ibp,1722238,28.63796234,77.24266815,Rhinopoma microphyllum (Brünnich 1782),species,NA
ibp,1722236,19.22371674,72.87994385,Megaderma lyra E. Geoffroy 1810,species,NA
ibp,1722235,19.22371674,72.87994385,Taphozous melanopogon Temminck 1841,species,NA
ibp,1722234,12.00712776,92.97666168,Pipistrellus javanicus (Gray 1838),species,NA
ibp,1722233,23.18146706,79.98640442,Taphozous theobaldi Dobson 1872,species,NA
ibp,1722232,23.18146706,79.98640442,Rhinopoma hardwickii Gray 1831,species,NA
ibp,1722231,19.53752899,73.76947784,Rhinolophus beddomei K. Andersen 1905,species,NA
ibp,1722230,10.74488735,92.49999237,Cynopterus brachyotis (Müller 1838),species,NA
ibp,1722202,20.53902054,73.58002472,Rhinolophus lepidus Blyth 1844,species,NA
ibp,1722201,13.33394527,79.89267731,Hipposideros ater Templeton 1848,species,NA
ibp,1722200,10.74488735,92.49999237,Hipposideros larvatus (Horsfield 1823),species,NA
ibp,1722199,12.04469299,92.82897949,Rhinolophus cognatus K. Andersen 1906,species,NA
ibp,1722198,11.27538681,92.63122559,Cynopterus brachyotis (Müller 1838),species,NA
ibp,1722197,12.00712776,92.97666168,Megaderma spasma (Linnaeus 1758),species,NA
ibp,1722194,12.89528656,92.68844604,Eonycteris spelaea (Dobson 1871),species,NA
ibp,1722193,12.00712776,92.97666168,Hipposideros pomona K. Andersen 1918,species,NA
ibp,1722192,12.83642769,92.89035034,Rhinolophus yunanensis Dobson 1872,species,NA
ibp,1722180,13.39093971,75.72138214,Myotis formosus (Hodgson 1835),species,NA
ibp,1722179,19.53752899,73.76947784,Myotis horsfieldii (Temminck 1840),species,NA
ibp,1722178,20.63998795,79.64073944,Rhinopoma hardwickii Gray 1831,species,NA
ibp,1722177,19.22371674,72.87994385,Taphozous melanopogon Temminck 1841,species,NA
ibp,1722176,18.96334648,72.93148804,Megaderma lyra E. Geoffroy 1810,species,NA
ibp,1722175,17.93072891,73.6477356,Miniopterus schreibersii (Kuhl 1817),species,NA
ibp,1722173,15.45667648,74.49359131,Otomops wroughtoni (Thomas 1913),species,NA
ibp,1722172,12.70944881,77.28073883,Hipposideros galeritus Cantor 1846,species,NA
ibp,1722171,12.75548458,77.5623703,Hipposideros lankadiva Kelaart 1850,species,NA
ibp,1722170,23.18146706,79.98640442,Hipposideros fulvus Gray 1838,species,NA
ibp,1722169,19.24749756,72.85523987,Hipposideros fulvus Gray 1838,species,NA
ibp,1722167,23.18146706,79.98640442,Megaderma lyra E. Geoffroy 1810,species,NA
ibp,1722166,17.38536263,78.404129029999993,Hipposideros speoris (Schneider 1800),species,NA
ibp,1722165,12.75548458,77.5623703,Hipposideros speoris (Schneider 1800),species,NA
ibp,1722155,15.45667648,74.49359131,Megaderma spasma (Linnaeus 1758),species,NA
ibp,1722154,11.59436131,92.61956787,Megaderma spasma (Linnaeus 1758),species,NA
ibp,1722153,11.59436131,92.61956787,Cynopterus sphinx (Vahl 1797),species,NA
ibp,1722152,18.52356911,73.84112549,Tadarida aegyptiaca (E. Geoffroy 1818),species,NA
ibp,1722129,12.75548458,77.5623703,Hipposideros galeritus Cantor 1846,species,NA
ibp,1708280,8.504927635,77.46644592,Megaderma spasma (Linnaeus 1758),species,NA
ibp,1456482,23.99876,91.99097,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1610798,18.53654,73.83137,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1614782,23.69319,88.02249,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1576148,13.01125,80.26738,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1551977,9.98714,76.27359,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1694406,24.43202,92.33069,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1659787,17.36152,78.29749,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1404106,27.52492,77.20013,Pteropus giganteus (Brünnich 1782),species,NA
ibp,397891,24.57323456,73.69335175,Pteropus giganteus (Brünnich 1782),species,NA
ibp,396043,24.70240021,92.46289063,Pteropus giganteus (Brünnich 1782),species,NA
ibp,396040,26.7172184,88.4557724,Pteropus giganteus (Brünnich 1782),species,NA
ibp,395346,26.06225967,76.43765259,Cynopterus sphinx (Vahl 1797),species,NA
ibp,394649,26.90857887,70.92310333,Pteropus giganteus (Brünnich 1782),species,NA
ibp,394648,26.90857887,70.92310333,Pteropus giganteus (Brünnich 1782),species,NA
ibp,393480,23.48733902,77.74182129,Pteropus giganteus (Brünnich 1782),species,NA
ibp,391697,26.90928841,80.98760986,Megaderma lyra E. Geoffroy 1810,species,NA
ibp,391214,22.77880478,73.6142807,Pteropus giganteus (Brünnich 1782),species,NA
ibp,389614,13.7086668,75.81585693,Pteropus,genus,NA
ibp,389128,24.43202019,92.33068848,Pteropus giganteus (Brünnich 1782),species,NA
ibp,388903,24.60054779,92.38136292,Megaderma lyra E. Geoffroy 1810,species,NA
ibp,387130,16.26773262,79.31948853,Hipposideros speoris (Schneider 1800),species,NA
